Complaint_ID,Customer_ID,Complaint_Text,Sentiment
CMP0236,C0236,"Great service, no issues with billing.",POSITIVE
CMP0237,C0237,Tax seems incorrect.,NEGATIVE
CMP0238,C0238,Why was I billed for unused data?,NEGATIVE
CMP0239,C0239,Charges match my usage perfectly.,POSITIVE
CMP0240,C0240,I was charged extra for roaming.,NEGATIVE
CMP0241,C0241,Why was I billed for unused data?,NEGATIVE
CMP0242,C0242,Charges match my usage perfectly.,POSITIVE
CMP0243,C0243,Tax seems incorrect.,NEGATIVE
CMP0244,C0244,Tax seems incorrect.,NEGATIVE
CMP0245,C0245,I need help understanding my bill.,NEGATIVE
CMP0246,C0246,Tax seems incorrect.,NEGATIVE
CMP0247,C0247,"Great service, no issues with billing.",POSITIVE
CMP0248,C0248,Tax seems incorrect.,NEGATIVE
CMP0249,C0249,My discount wasn’t applied.,NEGATIVE
CMP0250,C0250,Tax seems incorrect.,NEGATIVE
CMP0251,C0251,Charges match my usage perfectly.,POSITIVE
CMP0252,C0252,The bill is way higher than expected.,NEGATIVE
CMP0253,C0253,My discount wasn’t applied.,NEGATIVE
CMP0254,C0254,I need help understanding my bill.,NEGATIVE
CMP0255,C0255,I need help understanding my bill.,NEGATIVE
CMP0256,C0256,"Great service, no issues with billing.",POSITIVE
CMP0257,C0257,I was charged extra for roaming.,NEGATIVE
CMP0258,C0258,Why was I billed for unused data?,NEGATIVE
CMP0259,C0259,"Great service, no issues with billing.",POSITIVE
CMP0260,C0260,Tax seems incorrect.,NEGATIVE
CMP0261,C0261,Tax seems incorrect.,NEGATIVE
CMP0262,C0262,Everything looks fine.,POSITIVE
CMP0263,C0263,"Great service, no issues with billing.",POSITIVE
CMP0264,C0264,Tax seems incorrect.,NEGATIVE
CMP0265,C0265,The bill is way higher than expected.,NEGATIVE
CMP0266,C0266,I need help understanding my bill.,NEGATIVE
CMP0267,C0267,The bill is way higher than expected.,NEGATIVE
CMP0268,C0268,Charges match my usage perfectly.,POSITIVE
CMP0269,C0269,Thanks for resolving my last issue.,POSITIVE
CMP0270,C0270,Tax seems incorrect.,NEGATIVE
CMP0271,C0271,"Great service, no issues with billing.",POSITIVE
CMP0272,C0272,Thanks for resolving my last issue.,POSITIVE
CMP0273,C0273,I need help understanding my bill.,NEGATIVE
CMP0274,C0274,Thanks for resolving my last issue.,POSITIVE
CMP0275,C0275,Everything looks fine.,POSITIVE
CMP0276,C0276,The bill is way higher than expected.,NEGATIVE
CMP0277,C0277,Charges match my usage perfectly.,POSITIVE
CMP0278,C0278,Everything looks fine.,POSITIVE
CMP0279,C0279,I was charged extra for roaming.,NEGATIVE
CMP0280,C0280,Charges match my usage perfectly.,POSITIVE
CMP0281,C0281,My discount wasn’t applied.,NEGATIVE
CMP0282,C0282,Why was I billed for unused data?,NEGATIVE
CMP0283,C0283,"Great service, no issues with billing.",POSITIVE
CMP0284,C0284,Everything looks fine.,POSITIVE
CMP0285,C0285,Everything looks fine.,POSITIVE
CMP0286,C0286,I need help understanding my bill.,NEGATIVE
CMP0287,C0287,Everything looks fine.,POSITIVE
CMP0288,C0288,I was charged extra for roaming.,NEGATIVE
CMP0289,C0289,"Great service, no issues with billing.",POSITIVE
CMP0290,C0290,Thanks for resolving my last issue.,POSITIVE
CMP0291,C0291,The bill is way higher than expected.,NEGATIVE
CMP0292,C0292,The bill is way higher than expected.,NEGATIVE
CMP0293,C0293,The bill is way higher than expected.,NEGATIVE
CMP0294,C0294,I need help understanding my bill.,NEGATIVE
CMP0295,C0295,Thanks for resolving my last issue.,POSITIVE
CMP0296,C0296,I need help understanding my bill.,NEGATIVE
CMP0297,C0297,I was charged extra for roaming.,NEGATIVE
CMP0298,C0298,Everything looks fine.,POSITIVE
CMP0299,C0299,Charges match my usage perfectly.,POSITIVE
CMP0300,C0300,Everything looks fine.,POSITIVE
CMP0301,C0301,I was charged extra for roaming.,NEGATIVE
CMP0302,C0302,I was charged extra for roaming.,NEGATIVE
CMP0303,C0303,The bill is way higher than expected.,NEGATIVE
CMP0304,C0304,Charges match my usage perfectly.,POSITIVE
CMP0305,C0305,"Great service, no issues with billing.",POSITIVE
CMP0306,C0306,I need help understanding my bill.,NEGATIVE
CMP0307,C0307,I need help understanding my bill.,NEGATIVE
CMP0308,C0308,The bill is way higher than expected.,NEGATIVE
CMP0309,C0309,Why was I billed for unused data?,NEGATIVE
CMP0310,C0310,Thanks for resolving my last issue.,POSITIVE
CMP0311,C0311,I was charged extra for roaming.,NEGATIVE
CMP0312,C0312,Tax seems incorrect.,NEGATIVE
CMP0313,C0313,Thanks for resolving my last issue.,POSITIVE
CMP0314,C0314,Tax seems incorrect.,NEGATIVE
CMP0315,C0315,I was charged extra for roaming.,NEGATIVE
CMP0316,C0316,Why was I billed for unused data?,NEGATIVE
CMP0317,C0317,Thanks for resolving my last issue.,POSITIVE
CMP0318,C0318,Tax seems incorrect.,NEGATIVE
CMP0319,C0319,Tax seems incorrect.,NEGATIVE
CMP0320,C0320,Charges match my usage perfectly.,POSITIVE
CMP0321,C0321,Tax seems incorrect.,NEGATIVE
CMP0322,C0322,Everything looks fine.,POSITIVE
CMP0323,C0323,"Great service, no issues with billing.",POSITIVE
CMP0324,C0324,Why was I billed for unused data?,NEGATIVE
CMP0325,C0325,Everything looks fine.,POSITIVE
CMP0326,C0326,I need help understanding my bill.,NEGATIVE
CMP0327,C0327,"Great service, no issues with billing.",POSITIVE
CMP0328,C0328,I was charged extra for roaming.,NEGATIVE
CMP0329,C0329,Tax seems incorrect.,NEGATIVE
CMP0330,C0330,Thanks for resolving my last issue.,POSITIVE
CMP0331,C0331,I was charged extra for roaming.,NEGATIVE
CMP0332,C0332,Everything looks fine.,POSITIVE
CMP0333,C0333,I was charged extra for roaming.,NEGATIVE
CMP0334,C0334,Everything looks fine.,POSITIVE
CMP0335,C0335,Charges match my usage perfectly.,POSITIVE
CMP0336,C0336,Charges match my usage perfectly.,POSITIVE
CMP0337,C0337,"Great service, no issues with billing.",POSITIVE
CMP0338,C0338,I need help understanding my bill.,NEGATIVE
CMP0339,C0339,Charges match my usage perfectly.,POSITIVE
CMP0340,C0340,Why was I billed for unused data?,NEGATIVE
CMP0341,C0341,Thanks for resolving my last issue.,POSITIVE
CMP0342,C0342,Charges match my usage perfectly.,POSITIVE
CMP0343,C0343,The bill is way higher than expected.,NEGATIVE
CMP0344,C0344,Charges match my usage perfectly.,POSITIVE
CMP0345,C0345,Why was I billed for unused data?,NEGATIVE
CMP0346,C0346,Why was I billed for unused data?,NEGATIVE
CMP0347,C0347,Tax seems incorrect.,NEGATIVE
CMP0348,C0348,Everything looks fine.,POSITIVE
CMP0349,C0349,"Great service, no issues with billing.",POSITIVE
CMP0350,C0350,"Great service, no issues with billing.",POSITIVE
CMP0351,C0351,I need help understanding my bill.,NEGATIVE
CMP0352,C0352,I was charged extra for roaming.,NEGATIVE
CMP0353,C0353,The bill is way higher than expected.,NEGATIVE
CMP0354,C0354,My discount wasn’t applied.,NEGATIVE
CMP0355,C0355,Charges match my usage perfectly.,POSITIVE
CMP0356,C0356,Why was I billed for unused data?,NEGATIVE
CMP0357,C0357,My discount wasn’t applied.,NEGATIVE
CMP0358,C0358,I need help understanding my bill.,NEGATIVE
CMP0359,C0359,Everything looks fine.,POSITIVE
CMP0360,C0360,Tax seems incorrect.,NEGATIVE
CMP0361,C0361,Thanks for resolving my last issue.,POSITIVE
CMP0362,C0362,Tax seems incorrect.,NEGATIVE
CMP0363,C0363,Tax seems incorrect.,NEGATIVE
CMP0364,C0364,Everything looks fine.,POSITIVE
CMP0365,C0365,Everything looks fine.,POSITIVE
CMP0366,C0366,I was charged extra for roaming.,NEGATIVE
CMP0367,C0367,Charges match my usage perfectly.,POSITIVE
CMP0368,C0368,The bill is way higher than expected.,NEGATIVE
CMP0369,C0369,Why was I billed for unused data?,NEGATIVE
CMP0370,C0370,Everything looks fine.,POSITIVE
CMP0371,C0371,Charges match my usage perfectly.,POSITIVE
CMP0372,C0372,The bill is way higher than expected.,NEGATIVE
CMP0373,C0373,Everything looks fine.,POSITIVE
CMP0374,C0374,I was charged extra for roaming.,NEGATIVE
CMP0375,C0375,Everything looks fine.,POSITIVE
CMP0376,C0376,Everything looks fine.,POSITIVE
CMP0377,C0377,My discount wasn’t applied.,NEGATIVE
CMP0378,C0378,"Great service, no issues with billing.",POSITIVE
CMP0379,C0379,The bill is way higher than expected.,NEGATIVE
CMP0380,C0380,Why was I billed for unused data?,NEGATIVE
CMP0381,C0381,Charges match my usage perfectly.,POSITIVE
CMP0382,C0382,Everything looks fine.,POSITIVE
CMP0383,C0383,My discount wasn’t applied.,NEGATIVE
CMP0384,C0384,Charges match my usage perfectly.,POSITIVE
CMP0385,C0385,Charges match my usage perfectly.,POSITIVE
CMP0386,C0386,Tax seems incorrect.,NEGATIVE
CMP0387,C0387,I was charged extra for roaming.,NEGATIVE
CMP0388,C0388,The bill is way higher than expected.,NEGATIVE
CMP0389,C0389,I was charged extra for roaming.,NEGATIVE
CMP0390,C0390,I was charged extra for roaming.,NEGATIVE
CMP0391,C0391,Why was I billed for unused data?,NEGATIVE
CMP0392,C0392,Why was I billed for unused data?,NEGATIVE
CMP0393,C0393,Tax seems incorrect.,NEGATIVE
CMP0394,C0394,My discount wasn’t applied.,NEGATIVE
CMP0395,C0395,The bill is way higher than expected.,NEGATIVE
CMP0396,C0396,Why was I billed for unused data?,NEGATIVE
CMP0397,C0397,Why was I billed for unused data?,NEGATIVE
CMP0398,C0398,Tax seems incorrect.,NEGATIVE
CMP0399,C0399,Why was I billed for unused data?,NEGATIVE
CMP0400,C0400,Everything looks fine.,POSITIVE
CMP0401,C0401,Everything looks fine.,POSITIVE
CMP0402,C0402,Charges match my usage perfectly.,POSITIVE
CMP0403,C0403,Tax seems incorrect.,NEGATIVE
CMP0404,C0404,Everything looks fine.,POSITIVE
CMP0405,C0405,Charges match my usage perfectly.,POSITIVE
CMP0406,C0406,Thanks for resolving my last issue.,POSITIVE
CMP0407,C0407,My discount wasn’t applied.,NEGATIVE
CMP0408,C0408,I need help understanding my bill.,NEGATIVE
CMP0409,C0409,Thanks for resolving my last issue.,POSITIVE
CMP0410,C0410,My discount wasn’t applied.,NEGATIVE
CMP0411,C0411,The bill is way higher than expected.,NEGATIVE
CMP0412,C0412,"Great service, no issues with billing.",POSITIVE
CMP0413,C0413,Why was I billed for unused data?,NEGATIVE
CMP0414,C0414,The bill is way higher than expected.,NEGATIVE
CMP0415,C0415,"Great service, no issues with billing.",POSITIVE
CMP0416,C0416,The bill is way higher than expected.,NEGATIVE
CMP0417,C0417,Tax seems incorrect.,NEGATIVE
CMP0418,C0418,Everything looks fine.,POSITIVE
CMP0419,C0419,Charges match my usage perfectly.,POSITIVE
CMP0420,C0420,Everything looks fine.,POSITIVE
CMP0421,C0421,I need help understanding my bill.,NEGATIVE
CMP0422,C0422,Thanks for resolving my last issue.,POSITIVE
CMP0423,C0423,"Great service, no issues with billing.",POSITIVE
CMP0424,C0424,Tax seems incorrect.,NEGATIVE
CMP0425,C0425,I need help understanding my bill.,NEGATIVE
CMP0426,C0426,Charges match my usage perfectly.,POSITIVE
CMP0427,C0427,My discount wasn’t applied.,NEGATIVE
CMP0428,C0428,The bill is way higher than expected.,NEGATIVE
CMP0429,C0429,Thanks for resolving my last issue.,POSITIVE
CMP0430,C0430,Why was I billed for unused data?,NEGATIVE
CMP0431,C0431,Why was I billed for unused data?,NEGATIVE
CMP0432,C0432,Everything looks fine.,POSITIVE
CMP0433,C0433,Everything looks fine.,POSITIVE
CMP0434,C0434,The bill is way higher than expected.,NEGATIVE
CMP0435,C0435,I was charged extra for roaming.,NEGATIVE
CMP0436,C0436,The bill is way higher than expected.,NEGATIVE
CMP0437,C0437,Tax seems incorrect.,NEGATIVE
CMP0438,C0438,My discount wasn’t applied.,NEGATIVE
CMP0439,C0439,I was charged extra for roaming.,NEGATIVE
CMP0440,C0440,I was charged extra for roaming.,NEGATIVE
CMP0441,C0441,Tax seems incorrect.,NEGATIVE
CMP0442,C0442,I need help understanding my bill.,NEGATIVE
CMP0443,C0443,I need help understanding my bill.,NEGATIVE
CMP0444,C0444,Thanks for resolving my last issue.,POSITIVE
CMP0445,C0445,Tax seems incorrect.,NEGATIVE
CMP0446,C0446,Charges match my usage perfectly.,POSITIVE
CMP0447,C0447,Why was I billed for unused data?,NEGATIVE
CMP0448,C0448,"Great service, no issues with billing.",POSITIVE
CMP0449,C0449,Tax seems incorrect.,NEGATIVE
CMP0450,C0450,Everything looks fine.,POSITIVE
CMP0451,C0451,"Great service, no issues with billing.",POSITIVE
CMP0452,C0452,Tax seems incorrect.,NEGATIVE
CMP0453,C0453,Charges match my usage perfectly.,POSITIVE
CMP0454,C0454,The bill is way higher than expected.,NEGATIVE
CMP0455,C0455,"Great service, no issues with billing.",POSITIVE
CMP0456,C0456,I was charged extra for roaming.,NEGATIVE
CMP0457,C0457,I was charged extra for roaming.,NEGATIVE
CMP0458,C0458,I was charged extra for roaming.,NEGATIVE
CMP0459,C0459,Why was I billed for unused data?,NEGATIVE
CMP0460,C0460,The bill is way higher than expected.,NEGATIVE
CMP0461,C0461,"Great service, no issues with billing.",POSITIVE
CMP0462,C0462,I was charged extra for roaming.,NEGATIVE
CMP0463,C0463,My discount wasn’t applied.,NEGATIVE
CMP0464,C0464,Tax seems incorrect.,NEGATIVE
CMP0465,C0465,My discount wasn’t applied.,NEGATIVE
CMP0466,C0466,Tax seems incorrect.,NEGATIVE
CMP0467,C0467,I was charged extra for roaming.,NEGATIVE
CMP0468,C0468,My discount wasn’t applied.,NEGATIVE
CMP0469,C0469,Everything looks fine.,POSITIVE
CMP0470,C0470,Why was I billed for unused data?,NEGATIVE
CMP0471,C0471,I was charged extra for roaming.,NEGATIVE
CMP0472,C0472,I was charged extra for roaming.,NEGATIVE
CMP0473,C0473,Charges match my usage perfectly.,POSITIVE
